Epochs,Normal Epoch Times,PAI Epoch Times
0,131.7207968235016,
1,136.54465198516846,
2,136.5553059577942,
3,136.37254786491394,
4,138.04106879234314,
5,137.7706880569458,
6,136.10139179229736,
7,136.14172077178955,
8,136.40617299079895,
9,136.15620517730713,
10,138.04491782188416,
11,137.86888790130615,
12,137.80791187286377,
13,137.94052386283875,
14,137.86027097702026,
15,137.9653549194336,
16,137.82347321510315,
17,137.77305912971497,
18,137.77790689468384,
19,137.98123693466187,
20,138.00233507156372,
21,138.01414823532104,
22,138.05412793159485,
23,136.60888981819153,
24,136.38942885398865,
25,136.44403624534607,
26,136.45151901245117,
27,137.13652300834656,
28,136.2192530632019,
29,136.16580486297607,
30,136.3451189994812,
31,136.3123939037323,
32,136.81011700630188,
